 Initialisation ...please be patient ...
 Used path variable :
 path=../data/
 Reading BIN files
 Read file : ../data/Q1_fes99.bin
 Read file : ../data/Q1_drfes99.bin
   Wave Q1                   ok...
 Read file : ../data/O1_fes99.bin
 Read file : ../data/O1_drfes99.bin
   Wave O1                   ok...
 Read file : ../data/K1_fes99.bin
 Read file : ../data/K1_drfes99.bin
   Wave K1                   ok...
 Read file : ../data/2N2_fes99.bin
 Read file : ../data/2N2_drfes99.bin
   Wave 2N2                  ok...
 Read file : ../data/N2_fes99.bin
 Read file : ../data/N2_drfes99.bin
   Wave N2                   ok...
 Read file : ../data/M2_fes99.bin
 Read file : ../data/M2_drfes99.bin
   Wave M2                   ok...
 Read file : ../data/K2_fes99.bin
 Read file : ../data/K2_drfes99.bin
   Wave K2                   ok...
 Read file : ../data/S2_fes99.bin
 Read file : ../data/S2_drfes99.bin
   Wave S2                   ok...
 Now ready !!!
NASA_d  Hour  Latitude Longitude Short_tid    LP_tid Pure_Tide  Geo_Tide  Rad_Tide
  9131  0.00    -7.688    59.195 32767.000     1.038 32768.039 65535.039 32767.000
  9131  1.00    -7.688    59.195 32767.000     1.012 32768.012 65535.012 32767.000
  9131  2.00    -7.688    59.195 32767.000     0.986 32767.986 65534.984 32767.000
  9131  3.00    -7.688    59.195 32767.000     0.960 32767.959 65534.961 32767.000
  9131  4.00    -7.688    59.195 32767.000     0.933 32767.934 65534.934 32767.000
  9131  5.00    -7.688    59.195 32767.000     0.905 32767.906 65534.906 32767.000
  9131  6.00    -7.688    59.195 32767.000     0.877 32767.877 65534.875 32767.000
  9131  7.00    -7.688    59.195 32767.000     0.849 32767.850 65534.852 32767.000
  9131  8.00    -7.688    59.195 32767.000     0.820 32767.820 65534.820 32767.000
  9131  9.00    -7.688    59.195 32767.000     0.790 32767.791 65534.789 32767.000
  9131 10.00    -7.688    59.195 32767.000     0.760 32767.760 65534.758 32767.000
  9131 11.00    -7.688    59.195 32767.000     0.730 32767.730 65534.730 32767.000
  9131 12.00    -7.688    59.195 32767.000     0.699 32767.699 65534.699 32767.000
  9131 13.00    -7.688    59.195 32767.000     0.668 32767.668 65534.668 32767.000
  9131 14.00    -7.688    59.195 32767.000     0.636 32767.637 65534.637 32767.000
  9131 15.00    -7.688    59.195 32767.000     0.604 32767.604 65534.602 32767.000
  9131 16.00    -7.688    59.195 32767.000     0.571 32767.572 65534.570 32767.000
  9131 17.00    -7.688    59.195 32767.000     0.539 32767.539 65534.539 32767.000
  9131 18.00    -7.688    59.195 32767.000     0.506 32767.506 65534.508 32767.000
  9131 19.00    -7.688    59.195 32767.000     0.472 32767.473 65534.473 32767.000
  9131 20.00    -7.688    59.195 32767.000     0.439 32767.439 65534.438 32767.000
  9131 21.00    -7.688    59.195 32767.000     0.405 32767.404 65534.406 32767.000
  9131 22.00    -7.688    59.195 32767.000     0.371 32767.371 65534.371 32767.000
  9131 23.00    -7.688    59.195 32767.000     0.336 32767.336 65534.336 32767.000
  9131 24.00    -7.688    59.195 32767.000     0.302 32767.301 65534.301 32767.000
